               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.022209,            0.009683,                   0,             0.83755,             0.71014,              0.7643,             0.33862,            0.046008,            0.018431,                   0,           0.0066191,           0.0066191,           0.0066191
                 128,            0.021534,            0.010318,                   0,             0.86207,             0.72464,             0.75795,             0.32808,            0.044753,            0.018319,                   0,           0.0065734,           0.0065734,           0.0065734
                 129,            0.022263,            0.011024,                   0,             0.86485,             0.69559,             0.76376,             0.34054,            0.044827,             0.01784,                   0,           0.0065276,           0.0065276,           0.0065276
                 130,            0.022588,            0.011041,                   0,              0.8106,             0.77535,             0.79721,             0.31414,            0.046503,            0.018026,                   0,           0.0064816,           0.0064816,           0.0064816
                 131,            0.021696,            0.010236,                   0,             0.82168,             0.76812,             0.80251,             0.33795,            0.045108,            0.017766,                   0,           0.0064356,           0.0064356,           0.0064356
                 132,             0.02181,            0.010544,                   0,             0.86432,             0.73913,             0.77678,              0.3323,            0.045166,            0.017716,                   0,           0.0063895,           0.0063895,           0.0063895
                 133,            0.021957,            0.009828,                   0,             0.84126,             0.76807,             0.76036,             0.31414,            0.046058,            0.018295,                   0,           0.0063432,           0.0063432,           0.0063432
                 134,            0.021142,            0.010188,                   0,             0.84998,             0.73899,             0.79352,             0.32383,            0.046522,            0.018516,                   0,           0.0062969,           0.0062969,           0.0062969
                 135,            0.020607,           0.0099806,                   0,             0.90461,             0.68841,             0.78462,             0.32117,            0.046089,            0.018172,                   0,           0.0062505,           0.0062505,           0.0062505
                 136,            0.019757,           0.0095919,                   0,             0.84249,             0.77536,             0.80098,             0.32554,            0.044916,            0.018338,                   0,            0.006204,            0.006204,            0.006204
                 137,            0.021036,           0.0099611,                   0,              0.8333,             0.76071,             0.78614,             0.32743,            0.044715,            0.018791,                   0,           0.0061574,           0.0061574,           0.0061574
                 138,            0.020788,            0.010408,                   0,             0.82248,             0.73913,             0.75195,             0.31208,            0.045279,            0.018219,                   0,           0.0061107,           0.0061107,           0.0061107
                 139,            0.019923,            0.010026,                   0,             0.86193,             0.72464,             0.75131,             0.30998,            0.045611,            0.018792,                   0,            0.006064,            0.006064,            0.006064
                 140,            0.020912,            0.010375,                   0,             0.79385,             0.75362,             0.74328,             0.31768,            0.045526,            0.019458,                   0,           0.0060172,           0.0060172,           0.0060172
                 141,            0.020427,            0.010478,                   0,             0.77951,             0.71739,              0.7466,             0.32713,            0.045672,            0.020408,                   0,           0.0059704,           0.0059704,           0.0059704
                 142,            0.019999,           0.0099974,                   0,             0.79104,             0.76808,             0.78337,               0.331,            0.045135,            0.019638,                   0,           0.0059235,           0.0059235,           0.0059235
                 143,            0.019973,            0.010325,                   0,              0.8304,             0.71014,             0.76301,             0.31867,            0.045375,            0.019148,                   0,           0.0058766,           0.0058766,           0.0058766
                 144,            0.019602,           0.0097029,                   0,             0.83187,             0.71708,             0.76314,             0.33195,            0.045199,            0.019694,                   0,           0.0058296,           0.0058296,           0.0058296
                 145,            0.021257,            0.010106,                   0,             0.84343,              0.7029,             0.73834,              0.3232,            0.044777,             0.01969,                   0,           0.0057826,           0.0057826,           0.0057826
                 146,            0.020129,           0.0096286,                   0,             0.83779,             0.67369,             0.72062,             0.31656,            0.046075,            0.020039,                   0,           0.0057355,           0.0057355,           0.0057355
                 147,            0.019048,           0.0097644,                   0,             0.84158,             0.73188,             0.76253,             0.33419,             0.04578,            0.019807,                   0,           0.0056884,           0.0056884,           0.0056884
                 148,             0.01952,           0.0095385,                   0,             0.87384,             0.70269,              0.7612,             0.33901,            0.045495,             0.01987,                   0,           0.0056413,           0.0056413,           0.0056413
                 149,            0.020264,            0.010263,                   0,              0.8898,              0.7029,              0.7738,             0.33425,            0.045593,             0.02005,                   0,           0.0055942,           0.0055942,           0.0055942
                 150,            0.019626,           0.0095562,                   0,             0.82351,             0.71006,             0.75227,               0.332,            0.045507,            0.020122,                   0,           0.0055471,           0.0055471,           0.0055471
                 151,            0.020016,            0.010176,                   0,             0.81447,             0.73167,              0.7847,             0.34804,            0.044843,            0.019496,                   0,              0.0055,              0.0055,              0.0055
                 152,            0.019651,           0.0097234,                   0,             0.81448,              0.7317,             0.76683,             0.34474,            0.044849,            0.019144,                   0,           0.0054529,           0.0054529,           0.0054529
                 153,            0.018828,           0.0092889,                   0,             0.79672,             0.73913,             0.74935,             0.32798,            0.045026,            0.019616,                   0,           0.0054058,           0.0054058,           0.0054058
                 154,            0.019193,           0.0094413,                   0,             0.82499,             0.71732,             0.75692,             0.32513,            0.045523,             0.01988,                   0,           0.0053587,           0.0053587,           0.0053587
                 155,            0.019634,           0.0094459,                   0,             0.87845,             0.68116,             0.76392,             0.33355,            0.046169,            0.019491,                   0,           0.0053116,           0.0053116,           0.0053116
                 156,            0.019098,            0.010152,                   0,             0.80159,             0.73188,             0.76685,             0.34277,            0.046007,            0.018809,                   0,           0.0052645,           0.0052645,           0.0052645
                 157,            0.019115,           0.0097119,                   0,             0.89794,             0.63754,             0.76473,             0.32872,            0.046282,            0.018997,                   0,           0.0052174,           0.0052174,           0.0052174
                 158,            0.018707,           0.0093985,                   0,             0.87155,             0.68836,             0.77617,             0.34825,            0.044689,            0.018692,                   0,           0.0051704,           0.0051704,           0.0051704
                 159,            0.019171,           0.0094257,                   0,             0.83189,             0.75362,             0.79744,              0.3547,            0.044164,             0.01873,                   0,           0.0051234,           0.0051234,           0.0051234
                 160,            0.018281,           0.0096881,                   0,             0.81277,             0.72464,             0.77694,             0.34153,            0.045412,            0.019327,                   0,           0.0050765,           0.0050765,           0.0050765
                 161,            0.019004,           0.0089815,                   0,             0.81666,             0.71013,             0.77636,             0.32691,            0.045821,            0.020294,                   0,           0.0050296,           0.0050296,           0.0050296
                 162,            0.018414,           0.0095545,                   0,             0.84414,             0.74638,             0.79318,             0.34815,            0.044083,            0.019124,                   0,           0.0049828,           0.0049828,           0.0049828
                 163,            0.019245,           0.0097631,                   0,              0.8536,             0.76052,             0.79954,             0.35786,            0.043807,            0.019487,                   0,            0.004936,            0.004936,            0.004936
